[0120/110556.143:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0120/112957.233:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0120/130612.401:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0120/144004.435:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0120/144127.021:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0120/144147.113:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0120/145002.341:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0120/154521.231:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0120/155028.753:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0120/175401.480:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0120/175828.591:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0120/180050.166:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0120/184806.070:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0120/202519.380:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0120/205901.487:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0120/212810.976:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0120/212831.456:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0120/222045.159:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0120/223151.281:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0120/223210.419:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
